变量,缺失率,是否保留,是否加缺失指示,是否signed_log,训练集1%下界,训练集99%上界,处理说明
托宾Q值A,0.0006102760454112258,True,False,True,0.88287071,7.603714210000003,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
EVA率口径一,0.0006771556120316341,True,False,False,-0.0282,0.099,中位数填补 + 1%/99%缩尾
销售EVA率口径一,0.001362671169890819,True,False,False,-0.5878809999999999,0.5464660000000003,中位数填补 + 1%/99%缩尾
现金流到期债务保障倍数,0.18757210453276263,True,True,True,-29.414976009999997,137.07080912000004,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
净资产收益率增长率A,0.07839121202494607,True,True,True,-2.42235414,18.714768560000003,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
营业利润增长率A,0.09639853533749101,True,True,True,-2.98919003,18.572077080000046,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
现金股利保障倍数,0.8058569780467822,False,False,False,,,缺失率过高，删除
盈利波动性,0.0749552742898226,True,True,True,0.000495,0.13114829000000028,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
应付账款周转率A,0.05025999431523684,True,True,True,0.27239482000000004,62.308820470000114,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
净利润现金净含量,0.0018977077028540855,True,False,False,-42.00604044999999,29.862481310000028,中位数填补 + 1%/99%缩尾
营运指数,0.01627681452624187,True,False,False,-47.2224915,40.590629670000126,中位数填补 + 1%/99%缩尾
市盈率PE1,0.04133993211723988,True,False,True,5.80464069,785.3099083400001,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
