变量,缺失率,是否保留,是否加缺失指示,是否signed_log,训练集1%下界,训练集99%上界,处理说明
托宾Q值A,0.0005836591430604527,True,False,True,0.88530084,7.465819519999998,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
EVA率口径一,0.0006156404659678747,True,False,False,-0.0277,0.0983,中位数填补 + 1%/99%缩尾
销售EVA率口径一,0.0011113509710329167,True,False,False,-0.5752280000000001,0.5352119999999996,中位数填补 + 1%/99%缩尾
现金流到期债务保障倍数,0.19396672343351481,True,True,True,-30.00673272,134.63460423999976,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
净资产收益率增长率A,0.08156036874465313,True,True,True,-2.35311752,18.36357407999998,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
营业利润增长率A,0.09904615704428614,True,True,True,-2.91199704,18.278160279999984,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
现金股利保障倍数,0.8032269154813589,False,False,False,,,缺失率过高，删除
盈利波动性,0.10440302863127933,True,True,True,0.000506,0.13119083999999992,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
应付账款周转率A,0.04873154078018437,True,False,True,0.27499480000000004,61.861273439999884,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
净利润现金净含量,0.0018149400749962023,True,False,False,-41.2887644,28.90856427999995,中位数填补 + 1%/99%缩尾
营运指数,0.01652634861241035,True,False,False,-46.347344799999995,38.73913619999999,中位数填补 + 1%/99%缩尾
市盈率PE1,0.03956889176720795,True,False,True,5.8834922800000005,762.4579001999999,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
