变量,缺失率,是否保留,是否加缺失指示,是否signed_log,训练集1%下界,训练集99%上界,处理说明
托宾Q值A,0.00020588103656626238,True,False,True,0.88183548,7.38194656,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
EVA率口径一,0.0004028107237166003,True,False,False,-0.028285999999999988,0.0939,中位数填补 + 1%/99%缩尾
销售EVA率口径一,0.0012710916170612719,True,False,False,-0.57883,0.5057720000000001,中位数填补 + 1%/99%缩尾
现金流到期债务保障倍数,0.18584791657342345,True,True,True,-28.43118295999999,143.29353432000022,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
净资产收益率增长率A,0.0456518820212147,True,False,True,-2.42407168,17.12389740000001,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
营业利润增长率A,0.06380521863670949,True,True,True,-3.05131384,17.194193020000004,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
现金股利保障倍数,0.7980754598755763,True,True,True,-7.433246,22.780209180000003,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
盈利波动性,0.06962359575706038,True,True,True,0.00049,0.12496238000000007,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
应付账款周转率A,0.05019916752450432,True,True,True,0.27827482,62.42304232000007,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
净利润现金净含量,0.0013606051112205165,True,False,False,-35.1330975,24.595323000000036,中位数填补 + 1%/99%缩尾
营运指数,0.015432126393053754,True,False,False,-43.583119999999994,36.79168874,中位数填补 + 1%/99%缩尾
市盈率PE1,0.026021572752092378,True,False,True,5.74854874,714.8566029800005,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
托宾Q值A_lag1,0.0004296647719643736,True,False,True,0.88741012,7.30358674,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
托宾Q值A_change1,0.0006355458085306359,True,False,False,-1.5259964999999998,1.7965818000000005,中位数填补 + 1%/99%缩尾
EVA率口径一_lag1,0.0005012755672917693,True,False,False,-0.0265,0.0976,中位数填补 + 1%/99%缩尾
EVA率口径一_change1,0.0005281296155395426,True,False,False,-0.0737,0.064,中位数填补 + 1%/99%缩尾
销售EVA率口径一_lag1,0.0011994808217338764,True,False,False,-0.5175,0.5276580000000001,中位数填补 + 1%/99%缩尾
销售EVA率口径一_change1,0.0022378373539811126,True,False,False,-0.6579299999999999,0.5521720000000001,中位数填补 + 1%/99%缩尾
现金流到期债务保障倍数_lag1,0.19065479120977488,True,True,True,-28.705379179999998,138.6037314200004,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
现金流到期债务保障倍数_change1,0.22032851452356442,True,True,False,-72.78259818,87.22207116000003,中位数填补 + 缺失指示变量 + 1%/99%缩尾
净资产收益率增长率A_lag1,0.07370541109072193,True,True,True,-2.17985648,18.01411774000001,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
净资产收益率增长率A_change1,0.11435348878843486,True,True,False,-19.640274339999994,15.804669760000001,中位数填补 + 缺失指示变量 + 1%/99%缩尾
营业利润增长率A_lag1,0.09048023989616434,True,True,True,-2.72935544,18.181984080000007,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
营业利润增长率A_change1,0.1402228886004565,True,True,False,-19.85514498,15.519618100000004,中位数填补 + 缺失指示变量 + 1%/99%缩尾
现金股利保障倍数_lag1,0.8121201271091617,False,False,False,,,缺失率过高，删除
现金股利保障倍数_change1,1.0,False,False,False,,,缺失率过高，删除
盈利波动性_lag1,0.09122320189768608,True,True,True,0.000489,0.12234978000000007,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
盈利波动性_change1,0.12460278386966835,True,True,False,-0.07581902,0.05696436000000001,中位数填补 + 缺失指示变量 + 1%/99%缩尾
应付账款周转率A_lag1,0.05077205388712348,True,True,True,0.27270902,60.58236920000005,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
应付账款周转率A_change1,0.09852750302108043,True,True,False,-28.31042997999999,24.421218580000005,中位数填补 + 缺失指示变量 + 1%/99%缩尾
净利润现金净含量_lag1,0.0015217294007071566,True,False,False,-38.46935535999999,26.88548262,中位数填补 + 1%/99%缩尾
净利润现金净含量_change1,0.0028823345119276733,True,False,False,-45.03674027999999,41.84610842000001,中位数填补 + 1%/99%缩尾
营运指数_lag1,0.016604753166539855,True,False,False,-43.69616987999999,36.99217116000001,中位数填补 + 1%/99%缩尾
营运指数_change1,0.02407017857942085,True,False,False,-80.23421757999999,79.22232846000001,中位数填补 + 1%/99%缩尾
市盈率PE1_lag1,0.0362798191827418,True,False,True,5.87428112,721.8320325400002,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
市盈率PE1_change1,0.037192856823166094,True,False,False,-186.74008446,166.28572386,中位数填补 + 1%/99%缩尾
next_gap_days_lag1,0.0,True,False,False,90.0,92.0,中位数填补 + 1%/99%缩尾
next_gap_days_change1,0.0,True,False,False,-2.0,1.0,中位数填补 + 1%/99%缩尾
is_next_quarter_change1,0.0,True,False,False,0.0,0.0,中位数填补 + 1%/99%缩尾
prev_gap_days_lag1,0.009721165465693953,True,False,True,90.0,365.0,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
prev_gap_days_change1,0.009721165465693953,True,False,True,-275.0,1.0,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
is_prev_quarter_change1,0.0,True,False,True,0.0,1.0,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
