变量,缺失率,是否保留,是否加缺失指示,是否signed_log,训练集1%下界,训练集99%上界,处理说明
托宾Q值A,0.000201036649855341,True,False,True,0.88345924,7.319581740000007,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
EVA率口径一,0.0003671104040836662,True,False,False,-0.028,0.0937,中位数填补 + 1%/99%缩尾
销售EVA率口径一,0.001040146144903721,True,False,False,-0.5722820000000001,0.5031700000000011,中位数填补 + 1%/99%缩尾
现金流到期债务保障倍数,0.18935030199201097,True,True,True,-28.834072900000002,141.76460912000007,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
净资产收益率增长率A,0.04473502495476676,True,False,True,-2.39396788,17.043261020000013,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
营业利润增长率A,0.06270595330705289,True,True,True,-3.01553728,17.17127972000006,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
现金股利保障倍数,0.7957729859186938,True,True,True,-7.4677865400000005,22.531078280000017,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
盈利波动性,0.08473257755207286,True,True,True,0.000497,0.12519010000000003,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
应付账款周转率A,0.04914034980377075,True,False,True,0.280184,62.07057870000034,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
净利润现金净含量,0.0013285900338266016,True,False,False,-34.66922264,24.23567800000012,中位数填补 + 1%/99%缩尾
营运指数,0.015558488554022044,True,False,False,-42.919211020000006,36.05286626000006,中位数填补 + 1%/99%缩尾
市盈率PE1,0.025426765844747262,True,False,True,5.79813512,706.0123268200006,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
托宾Q值A_lag1,0.0004282954714309439,True,False,True,0.88896138,7.242688200000001,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
托宾Q值A_change1,0.000629332121286285,True,False,False,-1.51110952,1.7771472800000003,中位数填补 + 1%/99%缩尾
EVA率口径一_lag1,0.00046325836705795974,True,False,False,-0.026294000000000005,0.09719400000000022,中位数填补 + 1%/99%缩尾
EVA率口径一_change1,0.0004894805387782216,True,False,False,-0.0731,0.0637,中位数填补 + 1%/99%缩尾
销售EVA率口径一_lag1,0.0009877018014631971,True,False,False,-0.5136,0.5204940000000002,中位数填补 + 1%/99%缩尾
销售EVA率口径一_change1,0.0019841443268331484,True,False,False,-0.652176,0.5498880000000004,中位数填补 + 1%/99%缩尾
现金流到期债务保障倍数_lag1,0.19393044131915005,True,True,True,-28.95552976,136.5634552400003,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
现金流到期债务保障倍数_change1,0.22394608721494313,True,True,False,-72.006129,87.06283308000094,中位数填补 + 缺失指示变量 + 1%/99%缩尾
净资产收益率增长率A_lag1,0.07843051561530326,True,True,True,-2.14989214,17.74404936,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
净资产收益率增长率A_change1,0.11825325373447429,True,True,False,-19.34730216,15.665228620000008,中位数填补 + 缺失指示变量 + 1%/99%缩尾
营业利润增长率A_lag1,0.09487181728390745,True,True,True,-2.68544698,17.979002080000004,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
营业利润增长率A_change1,0.14374994537047558,True,True,False,-19.549554600000004,15.475214520000097,中位数填补 + 缺失指示变量 + 1%/99%缩尾
现金股利保障倍数_lag1,0.8123453984458993,False,False,False,,,缺失率过高，删除
现金股利保障倍数_change1,1.0,False,False,False,,,缺失率过高，删除
盈利波动性_lag1,0.108778309019553,True,True,True,0.000496,0.12197610000000003,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
盈利波动性_change1,0.14527957205415754,True,True,False,-0.07457398,0.056281120000000344,中位数填补 + 缺失指示变量 + 1%/99%缩尾
应付账款周转率A_lag1,0.05001442219444614,True,True,True,0.2734719,60.59065202000017,中位数填补 + 缺失指示变量 + 1%/99%缩尾 + signed-log偏态变换
应付账款周转率A_change1,0.09689092450636762,True,True,False,-28.123166340000004,24.429876420000024,中位数填补 + 缺失指示变量 + 1%/99%缩尾
净利润现金净含量_lag1,0.0014859230641481728,True,False,False,-38.313563020000004,26.435323120000028,中位数填补 + 1%/99%缩尾
净利润现金净含量_change1,0.0028145130979747744,True,False,False,-44.25169994,41.438740100000004,中位数填补 + 1%/99%缩尾
营运指数_lag1,0.0167821899009676,True,False,False,-43.359953960000006,36.53721940000007,中位数填补 + 1%/99%缩尾
营运指数_change1,0.024325434632496264,True,False,False,-79.28620212,77.86366220000002,中位数填补 + 1%/99%缩尾
市盈率PE1_lag1,0.03546111688970081,True,False,True,5.91600954,711.1419536200002,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
市盈率PE1_change1,0.03635267072818971,True,False,False,-183.29979429999997,164.2062016800002,中位数填补 + 1%/99%缩尾
next_gap_days_lag1,0.0,True,False,False,90.0,92.0,中位数填补 + 1%/99%缩尾
next_gap_days_change1,0.0,True,False,False,-2.0,1.0,中位数填补 + 1%/99%缩尾
is_next_quarter_change1,0.0,True,False,False,0.0,0.0,中位数填补 + 1%/99%缩尾
prev_gap_days_lag1,0.03128305086227241,True,False,True,90.0,365.0,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
prev_gap_days_change1,0.03128305086227241,True,False,True,-274.0,1.0,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
is_prev_quarter_change1,0.0,True,False,True,0.0,1.0,中位数填补 + 1%/99%缩尾 + signed-log偏态变换
